@relation 'gesture-weka.filters.unsupervised.attribute.Remove-R31_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,7-11,12-26,27-30,357'

@attribute ratio numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingerDirection_f1_x numeric
@attribute fingerDirection_f1_y numeric
@attribute fingerDirection_f1_z numeric
@attribute fingerDirection_f2_x numeric
@attribute fingerDirection_f2_y numeric
@attribute fingerDirection_f2_z numeric
@attribute fingerDirection_f3_x numeric
@attribute fingerDirection_f3_y numeric
@attribute fingerDirection_f3_z numeric
@attribute fingerDirection_f4_x numeric
@attribute fingerDirection_f4_y numeric
@attribute fingerDirection_f4_z numeric
@attribute fingerDirection_f5_x numeric
@attribute fingerDirection_f5_y numeric
@attribute fingerDirection_f5_z numeric
@attribute fingerAngle_1 numeric
@attribute fingerAngle_2 numeric
@attribute fingerAngle_3 numeric
@attribute fingerAngle_4 numeric
@attribute class {G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24}

@data
1,0.526732,1,0.669351,0.60912,0.516758,0.074738,0.276323,-0.958154,-0.123067,0.895108,-0.428528,-0.213234,-0.937227,-0.275928,-0.346747,-0.909315,-0.230029,-0.60695,-0.717645,-0.341463,0,0,0,0,G04
1,0.543994,1,0.651725,0.590942,0.504216,0.036306,0.290246,-0.956263,-0.115695,0.897482,-0.425606,-0.213579,-0.940695,-0.263586,-0.355469,-0.909871,-0.213953,-0.618977,-0.716634,-0.321409,0,0,0,0,G04
1,0.548986,1,0.638065,0.577108,0.495268,-0.000762,0.292553,-0.956249,-0.115974,0.89412,-0.43255,-0.213884,-0.946068,-0.24333,-0.364535,-0.910814,-0.19373,-0.622702,-0.723004,-0.299177,0,0,0,0,G04
1,0.556331,1,0.622919,0.563707,0.485789,-0.013628,0.277108,-0.960742,-0.12387,0.885432,-0.447958,-0.206344,-0.955267,-0.211866,-0.365512,-0.915927,-0.165768,-0.622849,-0.735865,-0.265635,0,0,0,0,G04
1,0.564864,1,0.616078,0.555761,0.481871,-0.025852,0.263897,-0.964204,-0.12925,0.876474,-0.463776,-0.197454,-0.959161,-0.202538,-0.369605,-0.916471,-0.153206,-0.616248,-0.746328,-0.25146,0,0,0,0,G04
1,0.572809,1,0.608357,0.545718,0.476047,-0.048767,0.260511,-0.964239,-0.129209,0.87115,-0.473711,-0.199401,-0.959051,-0.201147,-0.373,-0.916124,-0.146932,-0.610297,-0.754571,-0.241164,0,0,0,0,G04
1,1,0.873625,0.91577,0.760366,0.729276,-0.666822,-0.091224,-0.739612,-0.127365,-0.567697,-0.813326,-0.286468,-0.590639,-0.754375,-0.281242,-0.880118,-0.382487,-0.426391,-0.774902,-0.466601,0,0,0,0,G05
1,1,0.889825,0.915548,0.857392,0.792743,-0.702991,-0.015728,-0.711025,-0.202267,-0.503989,-0.839692,-0.319933,-0.517727,-0.793474,-0.377055,-0.539845,-0.752594,-0.473969,-0.468467,-0.745582,0,0,0,0,G05
1,1,0.89074,0.91411,0.849918,0.786776,-0.669888,-0.050029,-0.740775,-0.181225,-0.540922,-0.821317,-0.305071,-0.549696,-0.777667,-0.369844,-0.565847,-0.736908,-0.458737,-0.490598,-0.74086,0,0,0,0,G05
1,1,0.896912,0.923199,0.854444,0.78693,-0.667134,-0.063187,-0.742253,-0.172473,-0.543067,-0.821786,-0.297946,-0.556566,-0.77554,-0.367737,-0.56205,-0.740857,-0.453772,-0.518075,-0.725044,0,0,0,0,G05
